,name,handedness,height,weight,avg,homeruns,hr_bucket,bmi,bmi_bucket,hr_sqrt
808,Joe Rudi,R,74,200,0.264,179,Big home run hitter (over 200 HR),25.67567568,25,13.37908816
809,Jim Rice,R,74,200,0.298,382,Big home run hitter (over 200 HR),25.67567568,25,19.54482029
810,Gil Garrido,R,69,150,0.237,1,Low home run hitter (under 25 HR),22.14870825,22,1
811,Marty Perez,R,71,160,0.246,22,Low home run hitter (under 25 HR),22.31303313,22,4.69041576
812,Tom Matchick,L,73,173,0.215,4,Low home run hitter (under 25 HR),22.82210546,22,2
813,Jack Perconte,L,70,160,0.27,2,Low home run hitter (under 25 HR),22.95510204,22,1.414213562
814,Ed Kirkpatrick,L,71,195,0.238,85,Mid home run hitter (25-100 HR),27.19400913,27,9.219544457
815,Jerry Grote,R,70,185,0.252,39,Mid home run hitter (25-100 HR),26.54183673,26,6.244997998
816,Ellie Hendricks,L,73,175,0.22,62,Mid home run hitter (25-100 HR),23.08594483,23,7.874007874
817,Jim Beauchamp,R,74,190,0.231,14,Low home run hitter (under 25 HR),24.39189189,24,3.741657387
818,Tito Fuentes,B,71,175,0.268,45,Mid home run hitter (25-100 HR),24.40487998,24,6.708203933
819,Ron Brand,R,67,167,0.239,3,Low home run hitter (under 25 HR),26.15304077,26,1.732050808
820,Leo Cardenas,R,71,150,0.257,118,Big home run hitter (over 200 HR),20.91846856,20,10.86278049
821,Art Shamsky,L,73,168,0.253,68,Mid home run hitter (25-100 HR),22.16250704,22,8.246211251
